Target Asli,Prediksi
6.0,5.0
5.0,5.0
5.0,5.0
3.0,5.0
5.0,5.0
6.999999999999999,6.0
3.0,5.0
5.0,5.0
4.0,5.0
3.0,5.0
5.0,6.0
10.0,5.0
6.0,5.0
3.0,5.0
6.999999999999999,6.0
5.0,5.0
4.0,5.0
3.0,5.0
5.0,5.0
4.0,5.0
6.0,5.0
3.0,5.0
5.0,5.0
6.0,6.0
6.999999999999999,5.0
4.0,5.0
10.0,6.0
7.999999999999999,5.0
5.0,5.0
6.999999999999999,5.0
5.0,5.0
5.0,5.0
2.0,5.0
5.0,5.0
4.0,6.0
6.999999999999999,6.0
5.0,5.0
6.0,5.0
6.0,5.0
4.0,5.0
6.999999999999999,6.0
5.0,6.0
4.0,5.0
6.999999999999999,5.0
5.0,5.0
4.0,5.0
6.0,5.0
5.0,5.0
5.0,6.0
5.0,5.0
11.0,6.0
3.0,5.0
6.999999999999999,5.0
6.0,5.0
5.0,5.0
5.0,6.0
6.0,5.0
4.0,5.0
3.0,6.0
6.0,6.0
4.0,5.0
5.0,5.0
6.0,5.0
6.0,5.0
3.0,5.0
4.0,5.0
5.0,5.0
3.0,5.0
6.0,5.0
7.999999999999999,5.0
6.0,5.0
5.0,5.0
2.0,5.0
4.0,5.0
4.0,5.0
3.0,5.0
6.0,5.0
6.0,5.0
6.0,5.0
3.0,6.0
4.0,5.0
5.0,5.0
4.0,5.0
6.0,6.0
6.0,7.0
6.999999999999999,5.0
5.0,5.0
6.0,5.0
6.0,5.0
6.999999999999999,6.0
2.0,5.0
3.0,5.0
5.0,5.0
4.0,5.0
6.0,5.0
10.0,5.0
4.0,5.0
10.0,5.0
4.0,5.0
4.0,5.0
5.0,5.0
4.0,5.0
4.0,5.0
6.0,5.0
3.0,5.0
6.0,6.0
6.0,6.0
6.999999999999999,6.0
6.999999999999999,5.0
2.0,5.0
3.0,5.0
4.0,5.0
3.0,6.0
6.999999999999999,6.0
5.0,5.0
4.0,5.0
5.0,5.0
5.0,5.0
3.0,5.0
6.999999999999999,5.0
5.0,5.0
6.0,5.0
5.0,6.0
2.0,5.0
5.0,5.0
3.0,5.0
3.0,5.0
5.0,6.0
6.0,5.0
5.0,5.0
6.0,5.0
7.999999999999999,5.0
4.0,5.0
4.0,5.0
6.0,5.0
3.0,6.0
4.0,5.0
6.0,5.0
5.0,5.0
4.0,5.0
2.0,6.0
5.0,5.0
3.0,5.0
6.0,5.0
4.0,5.0
5.0,5.0
7.999999999999999,5.0
9.0,6.0
6.999999999999999,5.0
6.999999999999999,5.0
6.999999999999999,5.0
4.0,5.0
11.0,5.0
6.999999999999999,5.0
4.0,5.0
3.0,6.0
5.0,5.0
4.0,5.0
4.0,5.0
5.0,5.0
6.0,5.0
5.0,5.0
6.0,5.0
3.0,5.0
5.0,6.0
3.0,5.0
6.0,5.0
6.0,5.0
5.0,5.0
6.999999999999999,6.0
